uc,CountryType,144,1,,,,,,Country
ucs,CountrySubdivisionType,145,0..1,,,,,,CountrySubdivision
xs,string,146,0..1,,,,,,PostalCode
xs,string,147,0..1,,,,,,PostOfficeBox
upri,ProcessRoleIdentifierType,148,1,,,,,ProcessRoleIdentifier
upi,KnownPartnerContactType,149,1,,,,KnownPartnerContact
uci,ContactInformationType,150,0..n,,,,,ContactInformation
udt,ContactType,151,1,,,,,,Contact
xs,string,152,0..1,,,,,,Email
xs,string,153,0..1,,,,,,Fax
xs,string,154,0..1,,,,,,Identifier
xs,string,155,0..1,,,,,,IdentifierCode
xs,string,156,0..1,,,,,,Phone
upi,KnownPartnerType,157,1,,,,,KnownPartner
upi,PartnerIdentificationType,158,1,,,,,,PartnerIdentification
xs,string,159,0..1,,,,,,,PartnerName
,,160,1,,,,,,,Choice
ulc,AlternativeIdentifierType,161,1..n,,,,,,,,AlternativeIdentifier
xs,string,162,1,,,,,,,,,Authority
xs,string,163,1,,,,,,,,,Identifier
udt,DUNSType,164,1,,,,,,,,DUNS
udt,DUNSPlus4Type,165,1,,,,,,,,DUNSPlus4
udt,GLNType,166,1,,,,,,,,GLN
upri,ProcessRoleIdentifierType,167,1,,,,,,ProcessRoleIdentifier
upi,NewPartnerType,168,1,,,,NewPartner
uci,ContactInformationType,169,1..n,,,,,ContactInformation
udt,ContactType,170,1,,,,,,Contact
xs,string,171,0..1,,,,,,Email
xs,string,172,0..1,,,,,,Fax
xs,string,173,0..1,,,,,,Identifier
xs,string,174,0..1,,,,,,IdentifierCode
xs,string,175,0..1,,,,,,Phone
ulc,LocationType,176,1,,,,,Location
,,177,1,,,,,,Choice
ulc,AlternativeIdentifierType,178,1..n,,,,,,,AlternativeIdentifier
xs,string,179,1,,,,,,,,Authority
xs,string,180,1,,,,,,,,Identifier
udt,DUNSType,181,1,,,,,,,DUNS
udt,DUNSPlus4Type,182,1,,,,,,,DUNSPlus4
udt,GLNType,183,1,,,,,,,GLN
upi,PartnerIdentificationType,184,1..n,,,,,PartnerIdentification
xs,string,185,0..1,,,,,,PartnerName
,,186,1,,,,,,Choice
ulc,AlternativeIdentifierType,187,1..n,,,,,,,AlternativeIdentifier
xs,string,188,1,,,,,,,,Authority
xs,string,189,1,,,,,,,,Identifier
udt,DUNSType,190,1,,,,,,,DUNS
udt,DUNSPlus4Type,191,1,,,,,,,DUNSPlus4
udt,GLNType,192,1,,,,,,,GLN
ulc,PhysicalAddressType,193,1,,,,,PhysicalAddress
xs,string,194,1,,,,,,AddressLine1
xs,string,195,0..1,,,,,,AddressLine2
xs,string,196,0..1,,,,,,AddressLine3
xs,string,197,0..1,,,,,,AddressLine4
xs,string,198,0..1,,,,,,AddressLine5
xs,string,199,1,,,,,,CityName
uc,CountryType,200,1,,,,,,Country
ucs,CountrySubdivisionType,201,0..1,,,,,,CountrySubdivision
xs,string,202,0..1,,,,,,PostalCode
xs,string,203,0..1,,,,,,PostOfficeBox
upri,ProcessRoleIdentifierType,204,1,,,,,ProcessRoleIdentifier
,ProductPriceAndAvailabilityType,205,1..n,,ProductPriceAndAvailability
xs,boolean,206,1,,,IsAdditionalInformationAllowed
dp,PriceConditionType,207,0..1,,,PriceCondition
udc,BusinessDocumentReferenceType,208,0..1,,,,ContractIdentifier
xs,dateTime,209,0..1,,,,,DateTime
udct,DocumentTypeType,210,1,,,,,DocumentType
xs,string,211,1,,,,,Identifier
xs,string,212,0..1,,,,,Line
xs,string,213,0..1,,,,,Revision
xs,string,214,0..1,,,,,SubLine
udc,BusinessDocumentReferenceType,215,0..1,,,,GeneralServiceAdministrationNumber
xs,dateTime,216,0..1,,,,,DateTime
udct,DocumentTypeType,217,1,,,,,DocumentType
xs,string,218,1,,,,,Identifier
xs,string,219,0..1,,,,,Line
xs,string,220,0..1,,,,,Revision
xs,string,221,0..1,,,,,SubLine
xs,string,222,0..1,,,,SpecialPriceCondition
ud,DatePeriodType,223,0..1,,,,SpecialPricingDatePeriod
xs,date,224,1,,,,,Begin
xs,date,225,1,,,,,End
xs,string,226,0..1,,,PriceListIdentifier
rptc,PricingTypeCodeType,227,0..n,,,PricingTypeCode
,ProductPriceAndAvailabilityLineItemType,228,1..n,,,ProductPriceAndAvailabilityLineItem
ud,DatePeriodType,229,0..1,,,,EstimatedAvailabilityDate
xs,date,230,1,,,,,Begin
xs,date,231,1,,,,,End
xs,string,232,1,,,,LineNumber
dp,PriceListType,233,0..n,,,,PriceList
sha,MonetaryAmountType,234,0..1,,,,,MonetaryAmount
rat,AmountTypeType,235,0..1,,,,,,AmountType
ume,FinancialAmountType,236,1,,,,,,FinancialAmount
xs,float,237,1,,,,,,,Amount
ucr,CurrencyType,238,1,,,,,,,Currency
xs,string,239,0..1,,,,,,,Identifier
rict,InvoiceChargeTypeType,240,0..1,,,,,,InvoiceChargeType
rmat,MonetaryAmountTypeType,241,0..1,,,,,,MonetaryAmountType
xs,string,242,1,,,,,PriceListIdentifier
rptc,PricingTypeCodeType,243,0..1,,,,,PricingTypeCode
rptc,PricingTypeCodeType,244,0..1,,,,PricingTypeCode
dp,ProductAvailabilityType,245,1..n,,,,ProductAvailability
uc,CountryType,246,0..1,,,,,CountryOfOrigin
ud,DatePeriodType,247,0..1,,,,,EstimatedAvailabilityDate
xs,date,248,1,,,,,,Begin
xs,date,249,1,,,,,,End
sha,ProductQuantityType,250,1,,,,,ProductQuantity
updi,ProductIdentificationType,251,1,,,,ProductIdentification
xs,string,252,0..1,,,,,ProductName
xs,string,253,0..1,,,,,Revision
,,254,1,,,,,Choice
ulc,AlternativeIdentifierType,255,1..n,,,,,,AlternativeIdentifier
xs,string,256,1,,,,,,,Authority
xs,string,257,1,,,,,,,Identifier
udt,GTINType,258,1,,,,,,GTIN
dp,ProductPricingDetailType,259,0..1,,,,ProductPricingDetail
rptc,PricingTypeCodeType,260,0..1,,,,,PricingTypeCode
sha,MonetaryAmountType,261,1,,,,,UnitPrice
rat,AmountTypeType,262,0..1,,,,,,AmountType
ume,FinancialAmountType,263,1,,,,,,FinancialAmount
xs,float,264,1,,,,,,,Amount
ucr,CurrencyType,265,1,,,,,,,Currency
xs,string,266,0..1,,,,,,,Identifier
rict,InvoiceChargeTypeType,267,0..1,,,,,,InvoiceChargeType
rmat,MonetaryAmountTypeType,268,0..1,,,,,,MonetaryAmountType
rpsc,ProductStatusCodeType,269,0..1,,,,ProductStatusCode
uuom,UnitOfMeasureType,270,0..n,,,,UnitOfMeasure
dp,WarehouseInformationType,271,0..n,,,,WarehouseInformation
dp,WarehouseLocationType,272,1,,,,,WarehouseLocation
,,273,1,,,,,,Choice
ulc,LocationType,274,1,,,,,,,Location
,,275,1,,,,,,,,Choice
ulc,AlternativeIdentifierType,276,1..n,,,,,,,,,AlternativeIdentifier
xs,string,277,1,,,,,,,,,,Authority
xs,string,278,1,,,,,,,,,,Identifier
udt,DUNSType,279,1,,,,,,,,,DUNS
udt,DUNSPlus4Type,280,1,,,,,,,,,DUNSPlus4
udt,GLNType,281,1,,,,,,,,,GLN
ulc,PhysicalAddressType,282,1,,,,,,,PhysicalAddress
xs,string,283,1,,,,,,,,AddressLine1
xs,string,284,0..1,,,,,,,,AddressLine2
xs,string,285,0..1,,,,,,,,AddressLine3
xs,string,286,0..1,,,,,,,,AddressLine4
xs,string,287,0..1,,,,,,,,AddressLine5
xs,string,288,1,,,,,,,,CityName
uc,CountryType,289,1,,,,,,,,Country
ucs,CountrySubdivisionType,290,0..1,,,,,,,,CountrySubdivision
xs,string,291,0..1,,,,,,,,PostalCode
xs,string,292,0..1,,,,,,,,PostOfficeBox
dp,WarehouseQuantityInformationType,293,0..n,,,,,WarehouseQuantityInformation
ud,DatePeriodType,294,0..1,,,,,,WarehouseAvailabilityDate
xs,date,295,1,,,,,,,Begin
xs,date,296,1,,,,,,,End
sha,ProductQuantityType,297,0..1,,,,,,WarehouseQuantity
